YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1936,12.44,12.14,11.94,13.74,13.94,16.34,19.64,22.04,19.94,16.34,12.34,9.64,12.24,13.21,19.34,16.21,15.25
1937,10.54,12.34,11.54,14.94,16.34,17.84,21.74,21.24,19.74,16.84,14.74,10.43,10.84,14.27,20.27,17.11,15.62
1938,10.13,10.63,14.23,15.73,16.03,19.93,20.33,21.03,18.13,17.63,15.33,11.03,10.40,15.33,20.43,17.03,15.80
1939,12.13,11.53,12.23,13.73,16.93,17.83,20.53,20.03,20.13,16.23,13.23,11.72,11.56,14.30,19.46,16.53,15.46
1940,11.22,12.32,14.12,14.92,15.82,19.32,20.12,23.62,20.22,15.82,13.02,9.52,11.75,14.95,21.02,16.35,16.02
1941,9.12,11.22,12.22,13.72,14.92,20.12,21.82,22.32,21.72,18.82,12.62,9.02,9.95,13.62,21.42,17.72,15.68
1942,10.22,9.42,13.32,14.02,16.62,19.62,21.92,20.92,20.52,18.12,13.22,11.91,9.55,14.65,20.82,17.29,15.58
1943,12.31,11.31,13.31,16.91,18.51,21.11,21.31,22.91,18.61,16.71,12.51,10.61,11.84,16.24,21.78,15.94,16.45
1944,9.71,10.11,12.91,16.51,18.71,21.21,21.71,21.71,20.71,15.81,13.51,10.30,10.14,16.04,21.54,16.68,16.10
1945,8.00,12.10,14.30,17.70,16.80,21.10,20.90,20.60,20.70,19.10,15.70,12.40,10.13,16.27,20.87,18.50,16.44
1946,9.70,12.10,12.30,14.50,14.50,18.80,23.10,20.50,19.90,17.90,14.20,10.80,11.40,13.77,20.80,17.33,15.82
1947,9.70,11.30,13.40,16.40,15.80,19.30,21.20,22.40,20.70,18.90,15.70,10.79,10.60,15.20,20.97,18.43,16.30
1948,12.09,12.19,15.69,14.19,15.79,21.09,21.39,21.69,21.29,18.69,15.29,12.89,11.69,15.22,21.39,18.42,16.68
1949,10.89,12.49,13.39,16.89,16.39,20.59,23.09,23.99,20.29,18.49,14.59,11.28,12.09,15.56,22.56,17.79,17.00
1950,10.08,11.98,13.48,14.88,16.38,19.58,22.08,21.08,20.08,17.28,15.08,10.38,11.11,14.91,20.91,17.48,16.11
1951,11.08,10.88,12.98,15.08,15.38,20.28,21.58,21.48,21.88,17.78,13.48,12.17,10.78,14.48,21.11,17.71,16.02
1952,9.57,11.67,14.67,14.67,17.47,20.77,21.87,21.87,19.67,17.77,14.77,12.07,11.14,15.60,21.50,17.40,16.41
1953,10.07,10.87,13.67,15.07,19.67,18.97,22.07,23.97,22.27,17.47,15.27,12.97,11.00,16.14,21.67,18.34,16.79
1954,9.27,10.27,12.57,14.77,17.47,18.77,21.67,20.97,20.67,19.97,15.67,11.46,10.84,14.94,20.47,18.77,16.25
